Date,Reason,Description
2008-03-03,,Suspicious outlier. Too low.
2008-03-04,,Suspicious outlier. Too low.
2008-09-30,,Suspicious outlier. Too low.
2008-10-21,,No projectcounts files for 20081021-150000 -- 20081022-110000.
2008-10-22,,No projectcounts files for 20081021-150000 -- 20081022-110000.
2009-10-14,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-10-15,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-10-16,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-11-18,,Shaky numbers. No clear weekly pattern.
2009-11-19,,Shaky numbers. No clear weekly pattern.
2009-11-20,,Shaky numbers. No clear weekly pattern.
2009-11-21,,Shaky numbers. No clear weekly pattern.
2009-11-22,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20091122-060000 -- 20091122-140000.
2009-11-23,,Shaky numbers. No clear weekly pattern.
2009-11-24,,Shaky numbers. No clear weekly pattern.
2009-11-25,,Shaky numbers. No clear weekly pattern.
2009-11-26,,Shaky numbers. No clear weekly pattern.
2009-11-27,,Shaky numbers. No clear weekly pattern.
2009-11-28,,Shaky numbers. No clear weekly pattern.
2009-11-29,,Shaky numbers. No clear weekly pattern.
2009-11-30,,Shaky numbers. No clear weekly pattern.
2009-12-01,,Shaky numbers. No clear weekly pattern.
2009-12-02,,Shaky numbers. No clear weekly pattern.
2009-12-03,,Shaky numbers. No clear weekly pattern.
2009-12-04,,Shaky numbers. No clear weekly pattern.
2009-12-05,,Shaky numbers. No clear weekly pattern.
2009-12-06,,Shaky numbers. No clear weekly pattern.
2009-12-07,,Shaky numbers. No clear weekly pattern.
2009-12-08,,Shaky numbers. No clear weekly pattern.
2009-12-09,,Shaky numbers. No clear weekly pattern.
2009-12-10,,Shaky numbers. No clear weekly pattern.
2009-12-11,,Shaky numbers. No clear weekly pattern.
2009-12-12,,Shaky numbers. No clear weekly pattern.
2009-12-13,,Shaky numbers. No clear weekly pattern.
2009-12-14,,Shaky numbers. No clear weekly pattern.
2009-12-15,,Shaky numbers. No clear weekly pattern.
2009-12-16,,Shaky numbers. No clear weekly pattern.
2009-12-17,,Shaky numbers. No clear weekly pattern.
2009-12-18,,Shaky numbers. No clear weekly pattern.
2009-12-19,,Shaky numbers. No clear weekly pattern.
2009-12-20,,Shaky numbers. No clear weekly pattern.
2009-12-21,,Shaky numbers. No clear weekly pattern.
2009-12-22,,Shaky numbers. No clear weekly pattern.
2009-12-23,,Shaky numbers. No clear weekly pattern.
2009-12-24,,Shaky numbers. No clear weekly pattern.
2009-12-25,,Shaky numbers. No clear weekly pattern.
2009-12-26,,Shaky numbers. No clear weekly pattern.
2009-12-27,,Shaky numbers. No clear weekly pattern.
2009-12-28,,Shaky numbers. No clear weekly pattern.
2009-12-29,,Shaky numbers. No clear weekly pattern.
2009-12-30,,Shaky numbers. No clear weekly pattern.
2009-12-31,,Shaky numbers. No clear weekly pattern.
2010-01-01,,Shaky numbers. No clear weekly pattern.
2010-01-02,,Shaky numbers. No clear weekly pattern.
2010-01-03,,Shaky numbers. No clear weekly pattern.
2010-01-04,,Shaky numbers. No clear weekly pattern.
2010-01-05,,Shaky numbers. No clear weekly pattern.
2010-01-06,,Shaky numbers. No clear weekly pattern.
2010-01-07,,Shaky numbers. No clear weekly pattern.
2010-01-08,,Shaky numbers. No clear weekly pattern.
2010-01-09,,Shaky numbers. No clear weekly pattern.
2010-01-10,,Shaky numbers. No clear weekly pattern.
2010-01-11,,Shaky numbers. No clear weekly pattern.
2010-01-12,,Shaky numbers. No clear weekly pattern.
2010-01-13,,Shaky numbers. No clear weekly pattern.
2010-01-14,,Shaky numbers. No clear weekly pattern.
2010-01-15,,Shaky numbers. No clear weekly pattern.
2010-01-16,,Shaky numbers. No clear weekly pattern.
2010-01-17,,Shaky numbers. No clear weekly pattern.
2010-01-18,,Shaky numbers. No clear weekly pattern.
2010-01-19,,Shaky numbers. No clear weekly pattern.
2010-01-20,,Shaky numbers. No clear weekly pattern.
2010-01-21,,Shaky numbers. No clear weekly pattern.
2010-01-22,,Shaky numbers. No clear weekly pattern.
2010-01-23,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100123-020000 -- 20100124-230000.
2010-01-24,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100123-020000 -- 20100124-230000.
2010-01-25,,Shaky numbers. No clear weekly pattern.
2010-01-26,,Shaky numbers. No clear weekly pattern.
2010-01-27,,Shaky numbers. No clear weekly pattern.
2010-01-28,,Shaky numbers. No clear weekly pattern.
2010-01-29,,Shaky numbers. No clear weekly pattern.
2010-01-30,,Shaky numbers. No clear weekly pattern.
2010-01-31,,Shaky numbers. No clear weekly pattern.
2010-02-01,,Shaky numbers. No clear weekly pattern.
2010-02-02,,Shaky numbers. No clear weekly pattern.
2010-02-03,,Shaky numbers. No clear weekly pattern.
2010-02-04,,Shaky numbers. No clear weekly pattern.
2010-02-05,,Shaky numbers. No clear weekly pattern.
2010-02-06,,Shaky numbers. No clear weekly pattern.
2010-02-07,,Shaky numbers. No clear weekly pattern.
2010-02-08,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100208-130000 -- 20100208-160000.
2010-02-09,,Shaky numbers. No clear weekly pattern.
2010-02-10,,Shaky numbers. No clear weekly pattern.
2010-02-11,,Shaky numbers. No clear weekly pattern.
2010-02-12,,Shaky numbers. No clear weekly pattern.
2010-02-13,,Shaky numbers. No clear weekly pattern.
2010-02-14,,Shaky numbers. No clear weekly pattern.
2010-02-15,,Shaky numbers. No clear weekly pattern.
2010-02-16,,Shaky numbers. No clear weekly pattern.
2010-02-17,,Shaky numbers. No clear weekly pattern.
2010-02-18,,Shaky numbers. No clear weekly pattern.
2010-02-19,,Shaky numbers. No clear weekly pattern.
2010-02-20,,Shaky numbers. No clear weekly pattern.
2010-02-21,,Shaky numbers. No clear weekly pattern.
2010-02-22,,Shaky numbers. No clear weekly pattern.
2010-02-23,,Shaky numbers. No clear weekly pattern.
2010-02-24,,Shaky numbers. No clear weekly pattern.
2010-02-25,,Shaky numbers. No clear weekly pattern.
2010-02-26,,Shaky numbers. No clear weekly pattern. No projectcounts file for 20100226-110000.
2010-02-27,,Shaky numbers. No clear weekly pattern.
2010-02-28,,Shaky numbers. No clear weekly pattern.
2010-03-01,,Shaky numbers. No clear weekly pattern.
2010-03-02,,Shaky numbers. No clear weekly pattern.
2010-03-03,,Shaky numbers. No clear weekly pattern.
2010-03-04,,Shaky numbers. No clear weekly pattern.
2010-03-05,,Shaky numbers. No clear weekly pattern.
2010-03-06,,Shaky numbers. No clear weekly pattern.
2010-03-07,,Shaky numbers. No clear weekly pattern.
2010-03-08,,Shaky numbers. No clear weekly pattern.
2010-03-09,,Shaky numbers. No clear weekly pattern.
2010-03-10,,Shaky numbers. No clear weekly pattern.
2010-03-11,,Shaky numbers. No clear weekly pattern.
2010-03-12,,Shaky numbers. No clear weekly pattern.
2010-03-13,,Shaky numbers. No clear weekly pattern.
2010-03-14,,Shaky numbers. No clear weekly pattern.
2010-03-15,,Shaky numbers. No clear weekly pattern.
2010-03-16,,Shaky numbers. No clear weekly pattern.
2010-03-17,,Shaky numbers. No clear weekly pattern.
2010-03-18,,Shaky numbers. No clear weekly pattern.
2010-03-19,,Shaky numbers. No clear weekly pattern.
2010-03-20,,Shaky numbers. No clear weekly pattern.
2010-03-21,,Shaky numbers. No clear weekly pattern.
2010-03-22,,Shaky numbers. No clear weekly pattern.
2010-03-23,,Shaky numbers. No clear weekly pattern.
2010-03-24,,Shaky numbers. No clear weekly pattern.
2010-03-25,,Shaky numbers. No clear weekly pattern.
2010-03-26,,Shaky numbers. No clear weekly pattern.
2010-03-27,,Shaky numbers. No clear weekly pattern.
2010-03-28,,Shaky numbers. No clear weekly pattern.
2010-03-29,,Shaky numbers. No clear weekly pattern.
2010-03-30,,Shaky numbers. No clear weekly pattern.
2010-03-31,,Shaky numbers. No clear weekly pattern.
2010-04-01,,Shaky numbers. No clear weekly pattern.
2010-04-02,,Shaky numbers. No clear weekly pattern.
2010-04-03,,Shaky numbers. No clear weekly pattern.
2010-04-04,,Shaky numbers. No clear weekly pattern.
2010-04-05,,Shaky numbers. No clear weekly pattern.
2010-04-06,,Shaky numbers. No clear weekly pattern.
2010-04-07,,Shaky numbers. No clear weekly pattern.
2010-04-08,,Shaky numbers. No clear weekly pattern.
2010-04-09,,Shaky numbers. No clear weekly pattern.
2010-04-10,,Shaky numbers. No clear weekly pattern.
2010-04-11,,Shaky numbers. No clear weekly pattern.
2010-04-12,,Shaky numbers. No clear weekly pattern.
2010-04-13,,Shaky numbers. No clear weekly pattern.
2010-04-14,,Shaky numbers. No clear weekly pattern.
2010-04-15,,Shaky numbers. No clear weekly pattern.
2010-04-16,,Shaky numbers. No clear weekly pattern.
2010-04-17,,Shaky numbers. No clear weekly pattern.
2010-04-18,,Shaky numbers. No clear weekly pattern.
2010-04-19,,Shaky numbers. No clear weekly pattern.
2010-04-20,,Shaky numbers. No clear weekly pattern.
2010-04-21,,Shaky numbers. No clear weekly pattern.
2010-04-22,,Shaky numbers. No clear weekly pattern.
2010-04-23,,Shaky numbers. No clear weekly pattern.
2010-04-24,,Shaky numbers. No clear weekly pattern.
2010-04-25,,Shaky numbers. No clear weekly pattern.
2010-04-26,,Shaky numbers. No clear weekly pattern.
2010-04-27,,Shaky numbers. No clear weekly pattern.
2010-04-28,,Shaky numbers. No clear weekly pattern.
2010-04-29,,Shaky numbers. No clear weekly pattern.
2010-04-30,,Shaky numbers. No clear weekly pattern.
2010-05-01,,Shaky numbers. No clear weekly pattern.
2010-05-02,,Shaky numbers. No clear weekly pattern.
2010-05-03,,Shaky numbers. No clear weekly pattern.
2010-05-04,,Shaky numbers. No clear weekly pattern.
2010-05-05,,Shaky numbers. No clear weekly pattern.
2010-05-06,,Shaky numbers. No clear weekly pattern.
2010-05-07,,Shaky numbers. No clear weekly pattern.
2010-05-08,,Shaky numbers. No clear weekly pattern.
2010-05-09,,Shaky numbers. No clear weekly pattern.
2010-05-10,,Shaky numbers. No clear weekly pattern.
2010-05-11,,Shaky numbers. No clear weekly pattern.
2010-05-12,,Shaky numbers. No clear weekly pattern.
2010-05-13,,Shaky numbers. No clear weekly pattern.
2010-05-14,,Shaky numbers. No clear weekly pattern.
2010-05-15,,Shaky numbers. No clear weekly pattern.
2010-05-16,,Shaky numbers. No clear weekly pattern.
2010-05-17,,Shaky numbers. No clear weekly pattern.
2010-05-18,,Shaky numbers. No clear weekly pattern.
2010-05-19,,Shaky numbers. No clear weekly pattern.
2010-05-20,,Shaky numbers. No clear weekly pattern.
2010-05-21,,Shaky numbers. No clear weekly pattern.
2010-05-22,,Shaky numbers. No clear weekly pattern.
2010-05-23,,Shaky numbers. No clear weekly pattern.
2010-05-24,,Shaky numbers. No clear weekly pattern.
2010-05-25,,Shaky numbers. No clear weekly pattern.
2010-05-26,,Shaky numbers. No clear weekly pattern.
2010-05-27,,Shaky numbers. No clear weekly pattern.
2010-05-28,,Shaky numbers. No clear weekly pattern.
2010-05-29,,Shaky numbers. No clear weekly pattern.
2010-05-30,,Shaky numbers. No clear weekly pattern.
2010-05-31,,Shaky numbers. No clear weekly pattern.
2010-06-01,,Shaky numbers. No clear weekly pattern.
2010-06-02,,Shaky numbers. No clear weekly pattern.
2010-06-03,,Shaky numbers. No clear weekly pattern.
2010-06-04,,Shaky numbers. No clear weekly pattern.
2010-06-05,,Shaky numbers. No clear weekly pattern.
2010-06-06,,Shaky numbers. No clear weekly pattern.
2010-06-07,,Shaky numbers. No clear weekly pattern.
2010-06-08,,Shaky numbers. No clear weekly pattern.
2010-06-09,,Shaky numbers. No clear weekly pattern.
2010-06-10,,Shaky numbers. No clear weekly pattern.
2010-06-11,,Shaky numbers. No clear weekly pattern.
2010-06-12,,Shaky numbers. No clear weekly pattern.
2010-06-13,,Shaky numbers. No clear weekly pattern.
2010-06-14,,Shaky numbers. No clear weekly pattern.
2010-06-15,,Shaky numbers. No clear weekly pattern.
2010-06-16,,Shaky numbers. No clear weekly pattern.
2010-06-17,,Shaky numbers. No clear weekly pattern.
2010-06-18,,Shaky numbers. No clear weekly pattern.
2010-06-19,,Shaky numbers. No clear weekly pattern.
2010-06-20,,Shaky numbers. No clear weekly pattern.
2010-06-21,,Shaky numbers. No clear weekly pattern.
2010-06-22,,Shaky numbers. No clear weekly pattern.
2010-06-23,,Shaky numbers. No clear weekly pattern.
2010-06-24,,Shaky numbers. No clear weekly pattern.
2010-06-25,,Shaky numbers. No clear weekly pattern.
2010-06-26,,Shaky numbers. No clear weekly pattern.
2010-06-27,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100627-090000 -- 20100628-070000.
2010-06-28,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100627-090000 -- 20100628-070000.
2010-06-29,,Shaky numbers. No clear weekly pattern.
2010-06-30,,Shaky numbers. No clear weekly pattern.
2010-07-01,,Shaky numbers. No clear weekly pattern.
2010-07-02,,Shaky numbers. No clear weekly pattern.
2010-07-03,,Shaky numbers. No clear weekly pattern.
2010-07-04,,Shaky numbers. No clear weekly pattern.
2010-07-05,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100705-010000 -- 20100705-140000.
2010-07-06,,Shaky numbers. No clear weekly pattern.
2010-07-07,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100707-100000 -- 20100710-060000.
2010-07-08,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100707-100000 -- 20100710-060000.
2010-07-09,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100707-100000 -- 20100710-060000.
2010-07-10,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20100707-100000 -- 20100710-060000.
2010-07-11,,Shaky numbers. No clear weekly pattern.
2010-07-12,,Shaky numbers. No clear weekly pattern.
2010-07-13,,Shaky numbers. No clear weekly pattern.
2010-07-14,,Shaky numbers. No clear weekly pattern.
2010-07-15,,Shaky numbers. No clear weekly pattern.
2010-07-16,,Shaky numbers. No clear weekly pattern.
2010-07-17,,Shaky numbers. No clear weekly pattern.
2010-07-18,,Shaky numbers. No clear weekly pattern.
2010-07-19,,Shaky numbers. No clear weekly pattern.
2010-07-20,,Shaky numbers. No clear weekly pattern.
2010-07-21,,Shaky numbers. No clear weekly pattern.
2010-07-22,,Shaky numbers. No clear weekly pattern.
2010-07-23,,Shaky numbers. No clear weekly pattern.
2010-07-24,,Shaky numbers. No clear weekly pattern.
2010-07-25,,Shaky numbers. No clear weekly pattern.
2010-07-26,,Shaky numbers. No clear weekly pattern.
2011-01-04,,No projectcounts files for 20110104-070000 -- 20110104-120000.
2011-06-14,,No projectcounts files for 20110614-190000 -- 20110614-200000.
2011-12-23,,Suspicious outlier. Too low.
2011-12-24,,Suspicious outlier. Too low.
2011-12-25,,Suspicious outlier. Too low.
2011-12-26,,Suspicious outlier. Too low.
2013-07-23,,No projectcounts files for 20130723-200000 -- 20130724-150000.
2013-07-24,,No projectcounts files for 20130723-200000 -- 20130724-150000.
2014-01-05,,Suspicious outlier. Too low.
2014-01-06,,No projectcounts file for 20140106-160000.
2014-08-24,bug 70118,Webstatscollector could not bring all messages to disk.
2014-08-25,bug 70118,Webstatscollector could not bring all messages to disk.
2014-08-26,bug 70118,Webstatscollector could not bring all messages to disk.
2014-08-27,bug 70118,Webstatscollector could not bring all messages to disk.
2014-08-28,bug 70136,No projectcounts files for 20140828-170000 -- 20140828-200000.
